Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
Trollhaugen,Wisconsin,1200,5.564520407322694,0,0.0,0,0,2,0,1,5,8,3.2188758248682006,1.6094379124341003,0.4054651081081644,4.465908118654584,4.465908118654584,130.0,4.248495242049359,3.9318256327243257,54.0,54.0,120.0,4.465908118654584,0
Tyrol Basin,Wisconsin,1160,5.707110264748875,0,0.0,0,0,0,3,0,2,5,2.9444389791664403,1.791759469228055,0.4054651081081644,3.4965075614664802,3.4965075614664802,112.0,4.127134385045092,3.7376696182833684,17.0,48.0,103.0,3.4965075614664802,0
Whitecap Mountain,Wisconsin,1750,5.993961427306569,0,0.0,0,0,1,0,4,0,5,3.784189633918261,0.6931471805599453,0.6931471805599453,5.993961427306569,5.707110264748875,105.0,4.060443010546419,5.303304908059076,60.0,60.0,118.0,0.0,0
Wilmot Mountain,Wisconsin,1030,5.442417710521793,0,0.0,0,0,3,2,2,3,10,3.1780538303479458,1.0986122886681098,0.4054651081081644,4.912654885736052,4.912654885736052,125.0,4.406719247264253,4.2626798770413155,56.0,66.0,139.0,4.912654885736052,0
Grand Targhee Resort,Wyoming,9920,7.7279755421055585,0,0.0,0,2,2,0,0,1,5,4.564348191467836,0.6931471805599453,1.308332819650179,7.864419904994565,0.0,152.0,3.9318256327243257,6.2166061010848646,90.0,90.0,152.0,0.0,3
Hogadon Basin,Wyoming,8000,6.46302945692067,0,0.0,0,0,0,0,1,1,2,3.367295829986474,0.6931471805599453,0.47000362924573563,4.532599493153256,3.4965075614664802,121.0,4.127134385045092,4.394449154672439,48.0,48.0,95.0,0.0,1
Jackson Hole,Wyoming,10450,8.32845106681936,3,0.0,0,4,4,1,2,1,15,4.875197323201151,1.9459101490553132,1.7047480922384253,7.824445930877619,5.278114659230517,130.0,4.007333185232471,6.131226489483141,57.91695652173913,48.0,133.0,0.0,3
Meadowlark Ski Lodge,Wyoming,9500,6.90875477931522,0,0.0,0,0,0,1,1,1,3,2.70805020110221,0.6931471805599453,0.9162907318741551,5.707110264748875,0.0,115.10394265232976,2.302585092994046,6.131226489483141,57.91695652173913,48.0,120.0530035335689,0.0,1
Sleeping Giant Ski Resort,Wyoming,7428,6.698268054115413,0,0.0,0,0,0,1,1,1,3,3.8918202981106265,0.6931471805599453,0.6931471805599453,5.220355825078324,2.9444389791664403,61.0,4.406719247264253,5.739792912179234,42.0,42.0,77.0,0.0,1
Snow King Resort,Wyoming,7808,7.360103972989152,0,0.0,0,0,1,1,1,0,3,3.4965075614664802,1.0986122886681098,0.6931471805599453,5.993961427306569,5.5254529391317835,121.0,4.394449154672439,5.707110264748875,59.0,59.0,123.0,4.709530201312334,1
Snowy Range Ski & Recreation Area,Wyoming,9663,6.898714534329988,0,0.0,0,0,0,1,3,1,5,3.5263605246161616,1.0986122886681098,0.5306282510621704,4.330733340286331,3.4339872044851463,131.0,4.0943445622221,5.5254529391317835,49.0,49.0,120.0530035335689,0.0,3
White Pine Ski Area,Wyoming,9500,7.00397413672268,0,0.0,0,0,0,2,0,0,2,3.258096538021482,0.0,0.3364722366212129,5.916202062607435,0.0,115.10394265232976,4.406719247264253,5.017279836814924,57.91695652173913,49.0,120.0530035335689,0.0,1
